ID,Song Name,Artist,BPM,Language,Mood Target,Stress Level,Pain Relief,Type,Duration,Evidence Based
1,Happy,Coldplay,138,English,Mood Boost,Low,No,Devotional,4:01,No
2,Believer,The Beatles,67,Korean,Sleep Aid,Low,No,Ambient,3:34,Yes
3,Weightless,Adele,146,Korean,Period Pain Relief,High,Yes,Ambient,4:18,Partial
4,Blinding Lights,Lady Gaga,52,Instrumental,Anxiety Relief,Medium,No,Lo-fi,7:06,Yes
5,Ocean Eyes,The Weeknd,125,Tamil,Anxiety Relief,Medium,No,Pop,7:21,Yes
6,Shallow,Yiruma,111,Tamil,Stress Relief,Medium,Yes,Devotional,8:20,No
7,Shape of You,Lady Gaga,76,Instrumental,Sleep Aid,High,No,Pop,3:09,No
8,Let It Be,Pharrell Williams,167,Instrumental,Anxiety Relief,Medium,Yes,Ambient,3:37,No
9,Nuvole Bianche,Adele,130,Hindi,Depression Support,Low,Yes,Acoustic,3:14,No
10,Let It Be,Adele,122,Tamil,Period Pain Relief,Medium,Yes,Acoustic,6:14,Yes
11,Perfect,Lady Gaga,131,English,Depression Support,Low,Yes,Classical,7:26,Partial
12,Shallow,Leonard Cohen,58,Tamil,Period Pain Relief,High,Yes,Acoustic,3:14,Partial
13,Tum Hi Ho,Adele,119,Tamil,Sleep Aid,Medium,Yes,Devotional,2:47,Partial
14,Ocean Eyes,Pharrell Williams,55,English,Sleep Aid,Low,No,Acoustic,2:23,Yes
15,Believer,A R Rahman,87,English,Anxiety Relief,High,No,Lo-fi,2:17,Partial
16,Ocean Eyes,The Beatles,54,Korean,Depression Support,Medium,No,Classical,2:44,Partial
17,Someone Like You,Leonard Cohen,170,Instrumental,Period Pain Relief,Medium,Yes,Ambient,4:15,No
18,Ocean Eyes,Leonard Cohen,91,Tamil,Sleep Aid,High,Yes,Classical,4:51,Partial
19,River Flows in You,Billie Eilish,135,Tamil,Sleep Aid,Low,Yes,Devotional,2:31,No
